Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2991,119,7,67,11,1015,233,234,133,1570,Commanche,C7202,1
2876,3,18,485,71,2495,192,202,144,1557,Commanche,C7757,1
3171,315,2,277,9,4374,213,237,162,1052,Rawah,C7745,0
3087,342,13,190,31,4774,193,221,166,752,Rawah,C7745,0
2835,158,10,212,41,3596,231,242,141,3280,Rawah,C4744,1
3185,45,7,470,68,883,222,225,138,2187,Commanche,C7201,0
3157,88,29,361,95,1756,248,179,39,2766,Rawah,C7745,1
3152,310,7,0,0,5549,201,235,174,2100,Rawah,C7202,1
3302,119,23,309,-30,806,252,212,74,3537,Neota,C7756,1
2370,189,14,162,68,1057,219,250,161,108,Cache,C2717,2
2998,81,9,0,0,319,233,224,123,955,Rawah,C7202,0
2889,267,25,218,89,2356,148,241,227,1443,Commanche,C7757,0
3058,74,6,313,11,3874,228,228,135,2081,Rawah,C7745,1
3143,9,18,95,8,4687,197,202,138,3104,Rawah,C7202,0
3021,252,14,680,23,5810,187,249,200,4353,Rawah,C7745,1
2946,137,12,30,-3,4595,238,235,126,3221,Rawah,C7745,0
3206,145,15,458,104,339,240,236,121,4441,Neota,C7201,1
3125,36,23,162,63,1380,212,184,98,365,Rawah,C7201,0
2716,327,22,150,62,2099,162,210,185,2582,Rawah,C7745,1
2302,51,15,60,12,1055,226,206,109,834,Cache,C2706,2
3255,265,16,618,147,6047,178,246,205,2790,Rawah,C7746,1
3448,342,12,604,94,1879,194,221,165,469,Commanche,C8772,6
2281,249,12,335,71,768,194,249,193,677,Cache,C2717,2
3046,114,15,60,13,743,244,224,105,1451,Commanche,C7201,1
3227,33,11,150,-19,1422,218,216,133,1575,Rawah,C8771,0
2975,45,13,391,56,5028,223,210,119,5662,Rawah,C7102,0
3212,141,9,443,72,767,234,238,135,2532,Rawah,C7201,0
3427,5,19,579,79,4106,193,200,142,3502,Commanche,C8772,6
2752,90,26,242,128,2820,249,189,53,6482,Rawah,C4744,1
2618,18,13,335,29,1466,210,213,138,4236,Rawah,C7745,1
3221,34,7,150,18,1846,219,224,141,1374,Commanche,C7755,0
2774,57,16,391,33,1538,229,204,103,2434,Rawah,C7745,1
3152,92,6,437,-9,4012,230,231,135,4524,Rawah,C7745,0
3254,193,27,268,97,2510,206,249,162,1074,Commanche,C7757,0
2438,160,14,335,3,845,233,242,136,1182,Commanche,C2703,2
3132,340,13,30,0,558,191,220,168,2113,Neota,C7201,0
3067,21,15,437,122,1637,208,206,131,3305,Commanche,C7757,0
2887,25,16,192,24,2888,211,204,126,2208,Rawah,C7745,1
3104,204,5,90,1,1064,217,244,163,1827,Rawah,C7202,0
2646,46,24,180,88,1132,219,179,82,1015,Commanche,C7757,1
3146,315,39,300,150,547,93,178,209,2123,Rawah,C7746,1
2733,117,6,90,-2,1194,231,234,136,726,Commanche,C4704,1
3014,234,21,285,115,5432,180,253,205,834,Rawah,C7745,1
2859,233,15,426,219,1560,194,252,193,1436,Commanche,C2705,1
2702,140,8,120,8,671,233,238,137,1614,Rawah,C4744,0
3162,332,9,384,-54,2713,199,229,169,1579,Rawah,C7202,0
3088,106,17,175,39,3372,246,217,94,787,Rawah,C7745,0
1945,331,23,30,16,330,160,205,181,684,Cache,C2702,5
2998,355,18,300,-23,1436,188,206,153,810,Commanche,C7700,0
3287,222,27,162,46,2336,177,253,201,2888,Rawah,C8776,1
3266,236,23,210,38,511,173,253,210,1279,Neota,C8776,0
3056,31,16,499,197,1538,214,203,121,3320,Commanche,C7755,0
